shortForm	longForm
ACOS	Asthma-COPD overlap syndrome,
ACOS	Syndrome de chevauchement asthme-BPCO
ACP	atrophie corticale posterieure ou syndrome de Benson
ACP	syndrome de Benson (Orphanet)
ACR	arret cardio-respiratoire
ACS	abdominal compartment syndrome, syndrome du compartiment abdominal
ACS / SCA	Artere cerebelleuse superieure,
ACS / SCA	Superior cerebellar artery
ACSC	ambulatory care sensitive conditions, conditions propices aux soins ambulatoires
ACSOS	agressions cerebrales secondaires d'origine systemique
ACT	Activating cloting time, test de la cascade coagulatoire
ACTH	Adenocorticotropic hormone, Corticotrophine
ACTP / PTCA	angioplastie coronarienne transluminale percutanee, percutaneous transluminal coronary angioplasty
ACV	accident cerebro-vasculaire
ACV /DCI	aciclovir, antiviral (herpes, varicelle-zona)
AD	Alzheimer's disease,
AD	Maladie d'Alzheimer
AD	auricula dexter, atrium droit, oreillette droite
ADA	Adenosine desaminase (enzyme)
ADCA	Autosomal dominant cerebellar ataxia, Ataxie cerebelleuse autosomique dominante
ADCHF	Acute decompensated chronic heart failure,
ADCHF	Decompensation aigue d'une insuffisance cardiaque chronique
ADEM / EMAD	Acute disseminated encephalomyelitis,
ADEM / EMAD	Encephalomyelite aigue disseminee = encephalomyelite post-infectieuse (post-vaccinale)
ADH	Atypical ductal hyperplasia,
ADH	Hyperplasie canalaire atypique
ADH	Antidiuretic hormone, Hormone antidiuretique (vasopressine)
ADN	acide desoxyribonucleique
ADNFLE	Autosomal dominant nocturnal frontal lobe epilepsy, Epilepsie frontale a crises nocturnes autosomique dominante
ADO	anti-diabetiques oraux
ADP	adenopathie
ADPKD	autosomal dominant polycystic kidney disease
ADR	Antegrade dissection and re-entry,
ADR	Dissection et reentree anterograde (par l'espace sous-intimal)
ADRG	adjacent diagnosis related groupe, DRG de base
ADS	arcade dentaire superieure
ADS / DSD	Anomalie du developpement sexuel,
ADS / DSD	disorders of sex development
ADT	accident du travail
ADVC	accident de la vie courante
AEDC	lait maternel enrichi
AEDs	Antiepileptic drugs,
AEDs	Traitements anti-epileptiques
aEEG	Electroencephalogramme (EEG) a amplitude integree
AEG	alteration de l'etat general
AEP	angine erythemato-pultacee
AEP / PEA	Auditory-evoked potentials, Potentiels evoques auditifs (test)
AES	accident d'exposition au sang
AESP	Activite electrique sans pouls
AET	Apport energetique total
AF	antecedent familial
AFD	Acute fetal distress,
AFD	Souffrance foetale aigue
AFI / ILA	Amniotic fluid index,
AFI / ILA	Indice de liquide amniotique
AFN	Antegrade femoral nail, clou de verrouillage femoral
AFOP	Acute fibrinous and organizing pneumonia,
AFOP	Pneumopathie organisee fibrineuse aigue
AFP	alpha foeto-proteine
AFS	artere femorale superficielle
AG	anesthesie generale
AGB	adjustable gastric banding, anneau gastrique ajustable
AGC	comptage des granulocytes (examen par frottis)
AGI	anastomose gastro-intestinale
AGM	aorte-gonades-mesonephros (region de developpement de CSH chez l'embryon)
AGT	anesthesie generale totale
AGUS	atypical glandular cells of undeterminated signifiance (examen gynecologique)
AHAI	anemie hemolytique auto-immune
AHI	apnea hypopnea index, indice de severite d'apnees du sommeil
AHMI	Anemie hemolytique a mediation immunitaire
AI	angor instable
AIA	anastomose ileo-anale
AIAP	Asthme - Intolerance a l'aspirine - Polypose nasale, syndrome de Widal (triade)
AIC	accidents ischemiques cerebraux / constitues
AICA	artere cerebelleuse antero-inferieure
AICD/DCAI	automatic implantable cardioverter defibrillator, defibrillateur cardiaque automatique implantable
AICR	anevrisme intracranien rompu
AIML	Accessory iliotibial band-meniscal ligament
AIN	anterior interosseous nerve, nerf anterieur inter-osseux
AIN	anal intraepithelial neoplasia, neoplasie intra-epitheliale anale
AINS	anti-inflammatoire non steroidien
AION / NOIA	anterior ischemic optic neuropathy, neuropathie optique ischemique anterieure
AIP	Acute interstitial pneumonia,
AIP	Pneumonie interstitielle aigue
AIR	anastomose ileo-rectale
AIRIS	syndrome de restauration immune VIH
AIRIS	syndrome de restauration immune vih
AIS	ASIA impairment scale,
AIS	Evaluation de deficits neurologiques (categories A-E)
AIT	Accident ischemique transitoire
AIU	adherences intra-uterines
AIVQ	activites instrumentales de la vie quotidienne
AK	akinesie
AKI	acute kidney injury,
AKI	insuffisance renale aigue
AL	anesthesie locale
ALAT	alanine aminotransferase (transaminase SGPT)
ALD	affection longue duree
ALF	acute liver failure insuffisance hepatique aigue
ALF	acute liver failure, insuffisance hepatique aigue
ALIF	Anterior lumbar interbody fusion,
ALIF	Fusion de vertebres (arthrodese) lombaire par voie anterieure
ALINEA	Alimentation et nutrition chez l'enfant et l'adolescent
ALK	Anaplasic lymphoma kinase (gene)
ALL	ligament anterolateral (genou)
ALL	Voir le schema
ALM	Acral lentiginous melanoma
ALM	Melanome acro-lentigineux
ALMI	Appendicular lean mass index,
ALMI	Indice de masse maigre appendiculaire
ALOS	Average length of stay,
ALOS	Duree moyenne de sejour
ALP	Anesthesie locale potentialisee
ALPPS	Associating liver partition and portal vein ligation for staged hepatectomy,
ALPPS	Transsection hepatique et ligature de branche portales (hepatectomie par etapes)
ALR	anesthesie loco-regionale
ALS	auscultation libre et symetrique
ALT	anterio-lateral tight, lambeau cutane perforant (vascularise) (cuisse)
ALTE / MGIN	apparent life threatening event, malaises graves inopines du nourrisson
ALTK	keratoplastie lamellaire automatisee
ALTR	Adverse local tissue response,
ALTR	Reponse immune locale
ALVAL	Aseptic lymphocyte vasculitis associated lesions,
ALVAL	Vasculite lymphocytaire aseptique (reaction d'hypersensitivite retardee de type IV)
ALVAL	aseptic lymphocyte vasculitis associated lesions, reaction d'hypersensitivite retardee de type IV
HAM / AMH	Hormone antimullerienne,
HAM / AMH	Anti-Mullerian hormone
AMI	artere mesenterique inferieure
AMI	artere mammaire interne
AMIC	Autologous matrix-induced chondrogenesis,
AMIC	Chondrogenese autologue induite par matrice
AMIG / AMID	artere mammaire interne gauche / droite
AMIR	anomalie micro-vasculaire intra-retinienne
AMIS	anterior minimally invasive surgery, technique de chirurgie mini-invasive voie anterieure
AMM	Angiopathie de Moya-Moya
AMM	administration massive de medicaments
AMM	autorisation de mise sur le marche
AMO	ablation de materiel d'osteosynthese
AMP	adenosine monophosphate
AMPc	adenosine monophosphate cyclique
AMS	Aorte mesenterique superieure
AMS	aire motrice supplementaire
AMS / MSA	atrophie multisystematisee, multiple system atrophy
AN	angiodermite necrotique
ANA	accouchement non assiste
ANA / AAN	Antinuclear antibodies,
ANA / AAN	Anticorps antinucleaires
ANC	nombre absolu de neutrophiles
ANCA	anti neutrophilic cytoplasm antibody, anticorps anti-cytoplasme des polynucleaires neutrophiles
ANH	Anesthesie des nerfs honteux (accouchement)
ANQ	Association nationale pour le developpement de la qualite dans les hopitaux et les cliniques (ch)
Anti TNF	inhibiteurs du facteur de necrose tumorale (maladies inflammatoires, de Crohn, PR....)
AO	anamnese oculaire
AOH	angio-oedeme hereditaire
AOMI	arteriopathie obliterante des membres inferieurs
AOMI	Thank you ?
AOT	adenome oncocytaire de la thyroide (benin)
AOU	Artere ombilicale unique
AP	artere pulmonaire
APA	Activites physique adaptees
APB	abducter pollicis brevis, court abducteur du pouce
APC	angle ponto-cerebelleux
APC	argon plasma coagulation (hemostase utilise en gastro)
APD	Ambulatory peritoneal dialysis,
APD	Dialyse peritoneale continue (assistee par machine)
APD	analgesie peridurale
APGAR	american pediatric gross assessment record, test evaluant 5 etats de 1 a 5 min. (score) : 8-10 soins de routine, 5-7 aide respiratoire, ventilation, -5 aide du pediatre, soins importants. Pathologie si score inferieur a 7
APL	abducter pollicis longus, long abducteur du pouce
APLA / APLS / SAPL	antiphospholipid antibody syndrome (Hughes ' syndrome), syndrome des antiphospholipides (syndrome de Soulier et Boffa)
APLV	allergie aux proteines de lait de vache
APP	Aphasie progressive primaire
APP	appendicectomie
APRV	airway pressure release ventilation, ventilation par relachement de pression (voies aeriennes)
APS	Automatic periodic stimulation,
APS	Stimulation periodique automatique (monitorage)
APSO	atresie pulmonaire a septum ouvert
APUD	amine precursor uptake and decarboxylation, groupe de cellules captant et decarboxylant des precurseurs d'amines
AQ	eau
AR	arythmie cardiaque
ARA2	antagoniste des recepteurs de l'angiotensine-2
ARBD	alcohol related birth defects
ARC	aids related-complex,
ARC	syndrome apparente au sida
ARDS	adult respiratory distress syndrome, syndrome de detresse respiratoire aigu
ARE	alcohol related effects
ARE	antioxidant response element, element de reponse antioxydant
AREB	anemie refractaire avec exces de blastes
AREC/ECMO/ECLS	assistance respiratoire extra-corporelle, extracorporeal membrane oxygenator, extracorporeal life support
ARFID	Avoidant / restrictive food intake disorder,
ARFID	Trouble de l'alimentation selective et/ou d'evitement
ARM	angio-IRM, angiographie par resonance magnetique
ARMD	Adverse reaction to metallic debris,
ARMD	Reaction indesirable aux debris metalliques
ARN	acide ribonucleique
ARND	Alcohol Related Neurodevelopmental Disorders
ARNm	ARN messager
ARPKD	autosomal recessice polycystic kidney disease
ARSI	anemie refractaire sideroblastique idiopathique
ART	assisted reproductive technologies, technologies d'assistance a la procreation
ARVD	arrythmogenic right ventricular dysplasia, dysplasie ventriculaire droite arythmogene
ARWMC	Age-related white matter changes, leucoaraisose (modification de substance blanche liee a l'age)
AS	Arthrose
AS	aide-soignant
ASA	American Society of Anesthesiologists, pour la classification du risque operatoire
ASAP	As soon as possible,
ASAP	Aussi vite que possible
ASARP	Anterior sagittal ano-recto plasty,
ASARP	Ano-rectoplastie sagittale anterieure
ASAT	aspartate aminotransferase (transaminase SGOT)
ASC	atypical squamous cells, atypie cytologique des cellules malphigiennes
ASC-H	Atypical squamous cells cannot exclude HSIL,
ASC-H	Atypie des cellules malpighiennes ne permettant pas d'exclure une lesion malpighienne intra-epitheliale de haut grade
ASC-US / ASCUS	Atypical squamous cells of undertermined significance,
ASC-US / ASCUS	Atypie cytologique des cellules malphigiennes, de signification indeterminee
ASD / CIA	Atrial septal defects,
ASD / CIA	Communication inter-auriculaire
ASH	Alcoholic steatohepatitis,
ASH	Steatohepatite alcoolique
ASI	abdomen souple et indolore
ASIA	American spinal injury association,
ASIA	Association americaine des lesions medullaires
ASIA	Anevrisme du septum inter-auriculaire
ASL	avec sa lentille (de contact)
ASLO	antistreptolysine O3
ASM	agressive sytemic mastocytosis, mastocytose systemique agressive
ASMR	amelioration du service medical rendu
ASO	arteriosclerose obliterante
ASP	antigene specifique prostatique
ASP	abdomen sans preparation
ASPI	ankle systolic pressure index, ratio d'indice de pression systolique
AST	Alternative site testing,
AST	Sites alternatifs de prelevement (autres que les doigts pour glycemie)
ASV	Anevrisme de sinus de Vasalva
ASV	Adaptative support ventilation,
ASV	Ventilation servo-adaptative
ASV	Avec son verre (de lunettes)
AT	arret de travail
AT1	angiotensine 1
AT2	angiotensine
ATA	artere tibiale anterieure
ATB	antibiotherapie
ATBG	antibiogramme
ATC	angioplastie trans-coronarienne
ATCD	antecedents
ATCF	antecedents familiaux
ATD	antitoxine diphterique
ATG / GAT	anti-thymocyte globuline, globuline antithymocyte (immunoglobuline)
ATI	artere thoracique interne
ATL	angioplastie trans-luminale
ATLS	advanced trauma life support, soutien avance au maintien des fonctions vitales (polytraumatises)
ATM	articulation temporo-mandibulaire
ATN / NTA	acute tubular necrosis, necrose tubulaire aigue
ATN /NTA	acute tubular necrosis, necrose tubulaire aigue
ATNC	agents transmissibles non conventionnels
ATP	Angioplastie transluminale percutanee (coronaires)
ATP	artere tibiale posterieure
ATPS	Angioplastie transluminale percutanee associee a mise en place de stent (coronaires)
ATRA	acide tout-trans retinoique
ATRT	atypical teratoid rhabdoid tumor, tumeur teratoide rhabdoide atypique
ATS	antithyroidien de synthese
ATT	aerateur transtympanique
ATTR	Amyloidose hereditaire a transthyretine
AUB/DUB	abormal/dysfunctional uterine bleeding, saignements uterins anormaux
AUB / DUB	abnormal/dysfonctional uterine bleeding, saignements uterins anormaux
AUDC	acide ursodesoxycholique
AV	acuite visuelle
AVAC	accouchement vaginal apres cesarienne
AVB	accouchement par voie basse
AVBD	adriamycine, bleomycine, vinblastine, dacarbazine (protocole chimio)
AVC	accident vasculaire cerebral
AVD	Actinomycine D - vincristine - doxorubicine
AVF	ante versio flexia (position normal de l'uterus)
aVf, aVL, aVr	derivations electrocardiographiques unipolaires
AVK	anti-vitamine K
AVN	avascular necrosis, necrose avasculaire
AVNRT/AVRT	atrioventricular nodal reentry tachycardia, tachycardie atriale de reentree nodale (supra-ventriculaire)
AVP	accident de la voie publique
AVQ / ADL	Activites de la vie quotidienne,
AVQ / ADL	Activities of daily living
AVS	activites de vaccination supplementaires
AWE	Antegrade wire escalation,
AWE	Passage de fil anterograde
AZT	azidothymidine (antiviral)
BAAR	bacille acido-alcooloresistant
BAB	brachio antebrachio
BABP	brachio antebrachio palmaire
BAHA	Bone anchored hearing aid,
BAHA	Aide auditive a ancrages osseux (implant os petreux)
BALAM	Broncho-aspiration de liquide amniotique meconial
BAN	battements des ailes du nez (indication pour difficultes respiratoires)
BAT	Biopsie d'artere temporale superficielle (arterite, maladie de Horton)
BATiC	Score utilise dans les traumas, echelle de 1 a 18 (US anormal, modifications FS, instabilite hemodynamique, douleurs abdominales)
BAV	Baisse d'acuite visuelle
BAV	bloc auriculo-ventriculaire
BAVU	Ballon autoremplisseur a valve uni-directionnelle (AMBU)
BBD	bloc de branche droit
BBG	bloc de branche gauche
BBS	maladie de Besnier-Boeck-Schaumann ou sarcoidose
BCC/CBC	basal cell carcinoma, carcinome basocellulaire
BCF	bruits cardiaques foetaux
BCG	Bacille de Calmette et Guerin
BCI	nerf brachial cutane interne
BDA	bouffee delirante aigue
BDC	bruit du coeur
BEA	bon entree d'air (BEAx2 pour les 2 poumons)
BEACOPP	Bleomycine - Etoposide - Adriamycine (doxorubicine) - Cyclophosphamide - Oncovin (vincristine) - Procarbazine (Matulane) - Prednisone
BEAM	Bicnu (carmustine) - Etoposide - Aracytine (cytarabine) - Melphalan
BED	binge eating disorder, troubles de frenesie alimentaire
BEG	bon etat general ou baisse de l'etat general
BEM	biopsie endo-myocardique
BEP	bleomycine, etoposide, cisplatine (protocole chimiotherapie dans le cancer des testicules)
BEP	bleomycine/blenoxane, etoposide/vepesid/VP-16, cisplatine/platinol AQ (protocole chimiotherique CA testicules)
BFMRS	Burke-Fahn-Marsden dystonia rating scale,
BFMRS	Evaluation de la dystonie de Burke-Fahn-Marsden
BFS	benign fasciculations syndrome, syndrome de fasciculations benignes
BGN	Bacille gram negatif
BGS	biopsie de ganglion sentinelle
BHA	bruits hydro-aeriques
BHBP	bien hydrate, bien perfuse
BHD	Syndrome de Birt-Hogg-Dube
BHD	buprenorphine haut dosage (Subutex)
BHE	barriere hemato-encephalique
BHU	bilan hydro-urinaire
BIA	Ballonnet intra-aortique
BIA	bioelectrical impedance analysis, analyse bioelectrique de l'impedance
BIC	bilan ionique et creatinine
BID	bis in die, deux fois par jour
BIO-RSA	Bony increased-offset reverse shoulder arthroplasty,
BIO-RSA	Arthroplastie de l'epaule inversee osseuse a excroissance excentree
BIP	diametre bi-parietal
Bipap	Bilevel positive airway pressure,
Bipap	Ventilation spontanee associee a une aide ventilatoire
BIS	bloc interscalenique (chir. Epaule)
BK	bacille de Koch (agent tuberculose)
BKV	BK virus, polyomavirus (proche papillomavirus)
BLF	bucco-linguo-faciale (apraxie)
BLSE / ESBL	betalactamases a spectre elargi (etendu), extended-spretrum beta-lactamases
BM	biopsie medullaire
BME	Bone marrow edema,
BME	Oedeme de moelle osseuse
BMI / IMC	Body mass index,
BMI / IMC	Indice de masse corporelle
BMPs	Bone morphogenetic proteins,
BMPs	Proteines morphogenetiques osseuses
BMR	bacterie multi-resistante aux antibiotiques
BMS	Burning mouth syndrome,
BMS	Glossodynie ou stomatodynie, anciennement paresthesies orales psychogenes
BMS	Bare metal stent,
BMS	Stent nu
BNP / NT-proBNP	Brain natriuretic peptide, Peptide cerebral natriuretique, ou de type B / N-terminal proBNP (marqueur biologique pathologies cardiaques)
BNS	spasmes de Blitz-Nick-Salaam
BNTF	bruits normaux en tonalite et en frequence
BODE	Body-mass, airflow obstruction, dyspnea, exercise capacity(multidimensional score),
BODE	BMI, obstruction du flux d'air, dyspnee, capacite d'exercice (score pronostic pour patients BPCO)
BOM	biopsie osteo-medullaire
BOOP	bronchiolitis obliterans organizing pneumonia, pneumonie organisante de la bronchiolite obliterante
BOS / SBO	Bronchiolitis obliterans syndrome,
BOS / SBO	Syndrome de bronchiolite obliterante
BOTOX	toxine botulique
BOU	bloc operatoire d'urgence
BP	blood patch/epidural blood patch, injection de sang autologue dans l'espace epidural
BPA	bisphenol A
BPCO / COPD	broncho-pneumopathie chronique obstructive, chronic obstructive pulmonary disease
BPD	broncho-dysplasie pulmonaire
BPD / BPG	Branche portale droite / gauche
BPD / DBP	Biliopancreatic diversion,
BPD / DBP	Derivation bilio-pancreatique
BPD-DS	Biliopancreatic diversion wich duodenal switch,
BPD-DS	Derivation bilio-pancreatique avec commutation duodenale (switch)
BPM	battement par minute
BPN	broncho-pneumonie
BPNI	bucco-pharyngectomie non-interruptrice
BPPV / VPPB / BPPD	benign paroxysmal positional vertigo, vertige paroxystique positionnel benin
BPTM	bucco-pharyngectomie trans-mandibulaire
BRA	Brain,
BRA	Encephale
BRASH	Bradycardia, Renal failure, AV nodal blocking medications, Shock and Hyperkalemia (syndrome),
BRASH	Choc hypovolemique et cardiogenique avec bradycardie et insuffisance renale sur accumulation medicamenteuse (syndrome)
BRI	bone risk index, index de lyse osseuse
BRM	Biological response modifiers,
BRM	Modificateur de la reponse biologique
BRUE / ALTE	Brief resolved unexplained events (< 1 an, criteres plus restritifs),
BRUE / ALTE	Incident bref resolu et inexplique
BRUE / ALTE	Apparent life-threatening events
BS	bilan sanguin
BSA	bruits surajoutes (auscultation pulmonaire)
BSAD	bourse sous-acromio-deltoidienne
BSAP	Bone-specific alkaline phosphatase,
BSAP	Phosphatase alcaline osseuse serique
BSCC	carcinome basaloide squameux
BSH	bonne sante habituelle
BSQ	Bilan semi-quantitatif
BSS	Bosse sero-sanguine
BSS	Solution ophtalmique
BTA	balancement thoraco-abdominal
BTB	biopsie transbronchique
BTC	bilirubine transcutane
BTR	bridge-to-recovery, assistance cardiaque jusqu'a recuperation
BTT	bridge-to-transplant, assistance cardiaque en attente de transplantation
BU	bandelette urinaire
BUT	break in time (test de rupture lacrymale)
BV	bande ventriculaire
BW	Bordet-Wassermann (recherche syphilis)
BZD	benzodiazepine
C1-INH	Inhibiteur de la C1 esterase
Ca	calcium
CABG/PAC	coronary artery bypass graft surgery, pontage aorto-coronarien
CAC	Carcinome apocrine cutane
CAC	coronary artery calcification, calcification d'artere coronaire
CAD	computer-aided design (implant)
CADASIL	Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy,
CADASIL	Arteriopathie cerebrale autosomique dominante, avec infactus sous-corticaux et leucoencephalopathie (demence vasculaire)
CAE / CAI	conduit auditif externe / interne
CAIS	Complete androgen insensitivity syndrome,
CAIS	Syndrome de resistance totale aux androgenes
CAKUT	congenital anomalies of the kidney and urinary tract, anomalies congenitales du rein et des voies urinaires
CALI	Chemotherapy-associated liver injury, evaluation des lesions du foie apres chimiotherapie (score incluant SOS, CASH et steatose)
CAM	Confusion assessment method, evaluation de l'etat confusionnel (4 criteres)
CAM	computer-aided manufacturing (implant)
CAMSP	centre d'action medico-social precoce
CANOMAD	chronic ataxic neuropathy-ophtalmoplegia-IgM paraprotein-cold agglutinins-disialosyl antibodies syndrome
CAO / FAO = CAD-CAM	Conception et fabrication assistee par ordinateur (implants),
CAO / FAO = CAD-CAM	Computer aided design, computer aided manufacturing
CAPD / DPCA	Continuous ambulatory peritoneal dialysis,
CAPD / DPCA	Dialyse peritoneale continue ambulatoire (non assistee par une machine)
CAPI / CPI	Cancer de primitif inconnu
CAR	catheter arteriel radial
CAR-T	Chimeric antigen receptor-T cells,
CAR-T	Cellules T porteuses d'un recepteur antigenique chimerique
CART	Controlled antegrade and retrograde tracking (Reverse Cart),
CART	Combinaison de procedure anterograde et retrograde transluminale percutanee
CAS	Certificat d'agression sexuelle
CASH	Chemotherapy-associated steato-hepatitis, steatohepatite lie a chimiotherapie
CAT	conduite a tenir
CAT / CTA	Computer-assisted tomography,
CAT / CTA	Tomographie assistee par ordinateur
CAT-SCAN	CAT-scanner
CAU	cause
CAVB	complete atrioventricular block
CAVE	syndrome de renutrition
CAVH	Continuous arteriovenous hemofiltration,
CAVH	Hemofiltration continue arterio-veineuse
CAVHDF	Continuous arteriovenous hemodiafiltration,
CAVHDF	Hemodiafiltration continue arterio-veineuse
CB	corpuscule de Barr
CBC	carcinome broncho-pulmonaire
CBCT	Cone beam computed tomography,
CBCT	Tomographie volumique numerisee a faisceau conique
CBD	Common bile duct,
CBD	Canal hepatique commun
CBD	Cannabidiol
CBF / DSC	cerebral blood flow, flux/debit sanguin cerebral
CBNPC	cancer bronchique non a petites cellules
CBP	cirrhose / cholangite biliaire primitive
CBS	Charles Bonnet syndrome,
CBS	Syndrome de Charles Bonnet
CBS	Communication bucco-sinusienne
CBV / VSC	cerebral blood volume, volume sanguin cerebral
CC	Choc cardiogenique
CC	Colonne cervicale
CC	complication et/ou comorbidite
CCA	chondrocalcinose articulaire
CCAM	classification commune des actes medicaux
CCAM/MAKC	congenital cystic adenomatoid malformation, malformation adenomatoide kystique congenitale (poumon)
CCD	Central core disease, myopathie congenitale a cores centraux
CCH	crise convulsive hyperthermique (ou convulsion hyperthermique du nourrisson)
CCI	carcinome canalaire infiltrant
CCIS	carcinome canalaire in situ
CCK	cholecystokinine (hormone gastro-intestinale)
CCL	complication or comorbidity level
CCM	Cardiac contractility modulation,
CCM	Systeme de modulation du myocarde
CCMH / CCHM ou CGMH	concentration corpusculaire moyenne en hemoglobine
CCNC	circulation collaterale non coronarienne
CCNU	Chloroethyl cyclohexyl nitroso-uree
CCO	charniere cervico-occipitale
CCR	cancer colorectal
CCU / USI	critical care unit, unite de soins intensifs
CCVG	chambre de chasse du ventricule gauche
CD	artere coronaire droite
CDC	Chef de clinique
CDC	Centers for disease control and prevention,
CDC	Centres de controles et prevention des maladies
CDH	curved detachable head (agrafeuse)
CDR	clinical dementia rating scale, stade clinique de demence (0,5 a 3)
CDRC	Conjonctivodacryocysto-rhinostomie
CDRIE	Cardiac device related infective endocarditis,
CDRIE	Endocardite infectieuse liee a un dispositif cardiaque
CDVA	Collapsus dynamique des voies aeriennes
CE	concentre erythrocytaire
CEA / ACE	carcinoembryonic antigen,
CEA / ACE	antigene carcino-embryonnaire
CEC	circulation extra-corporelle
CEC / ECC	Curetage endocervical,
CEC / ECC	Endocervical curettage
CED	Convection enhanced delivery,
CED	Livraison par convection augmentee
CEE	choc electrique externe
CEL	chimio-embolisation lipiodolee
CEM	circulation extra-corporelle minimalisee
CF	carence en fer
CFA	conflit femoro-acetabulaire
CFM	Cerebral function monitor,
CFM	Monitorage de la fonction cerebrale
CFTR	cystic fibrosis transmembrane conductance regulator, proteine CFTR (mutation frequente lors de mucoviscidose)
CFU	Colony-forming units, Cellules progenitrices organisees en clones
CG	Chorionic gonadotropin,
CG	Hormone gonadotrophine chorionique
CG1 / CG2 / CG3 / CG4	Cephalosporines de 1ere, 2e, 3e generation, cephalosporines a spectre elargi
CGD	chronic granulomatous disease,
CGD	granulomatose septique chronique ou syndrome de Bridges et Good
CGH-array / a-CGH	comparative genomic hybridization, hybridation genomique comparative (technique cytogenetique analysant les variations du nombre de copies dans l'ADN)
CGP	Comprehensive genomic profiling of solid tumor,
CGP	Profilage genomique large
CGP	conjonctivite giganto-papillaire
CGTC	crises generalisees tonico-cloniques
CH	centre hospitalier
CHC	carcinome hepatocellulaire
CHEP	crico-hyoido-epiglottopexie
CHH	complexe hypothalamo-hypophysaire
CHOP	Classification suisse des interventions chirurgicales
CHP	cricohyoidopexie
CHS	centre hospitalier specialise
CHU	centre hospitalier universitaire
CI	cadre infirmier
CIA	communication inter-auriculaire
CIC	complexes immuns circulants (anomalie immunitaire)
CIDDIST	centre d'information de depistage et de diagnostic des infections sexuellement transmissibles
CIDP / PIDC	chronic inflammatory demyelinating polyneuropathy, polyneuropathie inflammatoire demyelinisante chronique
CIG	cholestase intrahepatique de la grossesse
CIM / ICD	Classification internationale des maladies,
CIM / ICD	International classification of diseases
CIN	cervical intraepithelial neoplasia, neoplasie intra-epitheliale cervicale
CIP	Chambre implantable percutanee
CIRS	Cumulative Illness Rating Scale,
CIRS	Echelle d'evaluation des comorbidites
CIS	carcinome in situ
CISH	chromogenic in situ hybridization, technique d'hybridation in situ (amplification de gene)
CIT	Contre indication temporaire (greffe)
CIT	conventional insulin therapy, traitement insuline
CIV	Communication inter-ventriculaire
CIVD	coagulation intra-vasculaire disseminee (trouble de la coagulation)
CIVL	coagulation intravasculaire localisee
